,track,artist,weight
0,Simple Man,Lynyrd Skynyrd,110
1,Sweet Home Alabama,Lynyrd Skynyrd,109
2,Tuesday's Gone,Lynyrd Skynyrd,108
3,STAY (with Justin Bieber),+ACI-The Kid LAROI, Justin Bieber+ACI-,107
4,The Thrill,+ACI-Wiz Khalifa, Empire of the Sun+ACI-,106
5,Free Bird,Lynyrd Skynyrd,105
6,Hold Me Closer,+ACI-Elton John, Britney Spears+ACI-,104
7,Start Me Up +AC0- Remastered 2021,The Rolling Stones,103
8,Peanut Butter Jelly,Galantis,102
9,Sympathy For The Devil,The Rolling Stones,101
10,You Shook Me All Night Long,AC/DC,90
11,(I Can't Get No) Satisfaction +AC0- Mono Version,The Rolling Stones,89
12,You Can't Always Get What You Want +AC0- Remastered 2019,The Rolling Stones,88
13,Comfortably Numb,Pink Floyd,87
14,Kooka,+ACI-Will Sparks, Joel Fletcher+ACI-,86
15,Highway to Hell,AC/DC,85
16,Eventually,Tame Impala,84
17,The Show Goes On,Lupe Fiasco,83
18,Take Me (feat. Gloria Kim),+ACI-Will Sparks, Gloria Kim+ACI-,82
19,For A Better Day,Avicii,81
20,Magnets,+ACI-Disclosure, Lorde+ACI-,80
21,Need You Tonight,INXS,79
22,You Get What You Give,New Radicals,78
23,Bitter Sweet Symphony +AC0- Remastered 2016,The Verve,77
24,World Of Our Love,Client Liaison,76
25,Original Sin,INXS,75
26,All Along the Watchtower,Jimi Hendrix,74
27,Heroes,Gang of Youths,73
28,Summer,Calvin Harris,72
29,Catch +AC0- Radio Edit,Will Sparks,71
30,Let Me Down Easy,Gang of Youths,70
31,Hard Nation,+ACI-Uberjak'd, Will Sparks+ACI-,69
32,True Lovers,Holy Holy,68
33,Dreams +AC0- 2004 Remaster,Fleetwood Mac,67
34,Don't Change,INXS,66
35,Another Land,Will Sparks,65
36,I Got U,+ACI-Duke Dumont, Jax Jones+ACI-,64
37,Psycho,Will Sparks,63
38,This Is How We Roll,+ACI-Florida Georgia Line, Luke Bryan+ACI-,62
39,Heroes +AC0- 2017 Remaster,David Bowie,61
40,Magnolia,Gang of Youths,60
41,Next To You,+ACI-Will Sparks, Angel Taylor+ACI-,59
42,Soul to Squeeze,Red Hot Chili Peppers,58
43,Miss You +AC0- Remastered,The Rolling Stones,57
44,1955,+ACI-Hilltop Hoods, Montaigne, Tom Thum+ACI-,56
45,Fool To Cry,The Rolling Stones,55
46,Error +AC0- Original Mix,Will Sparks,54
47,The Less I Know The Better,Tame Impala,53
48,Monsta,Will Sparks,52
49,Gorilla,+ACI-Will Sparks, Tyron Hapi, Luciana+ACI-,51
50,Get Lit,+ACI-Will Sparks, Lil Debbie+ACI-,50
51,Australia Street,Sticky Fingers,49
52,Brain Washer,+ACI-Will Sparks, Danny David+ACI-,48
53,Gold Snafu,Sticky Fingers,47
54,Under Pressure,+ACI-Queen, David Bowie+ACI-,46
55,Elephant,Tame Impala,45
56,22 (OVER S+//3//f/9//3//f/9-N),Bon Iver,44
57,Veni Vidi Vici,Vini Vici,43
58,Purple Rain,Prince,42
59,Wish You Were Here,Pink Floyd,41
60,Rum Rage,Sticky Fingers,40
61,Wild Horses +AC0- Acoustic Version,The Rolling Stones,39
62,Holocene,Bon Iver,38
63,The March,Will Sparks,37
64,Runaway (U +ACY- I),Galantis,36
65,Brown Sugar,The Rolling Stones,35
66,My Spine Is Tingling,+ACI-Will Sparks, Luciana+ACI-,34
67,Ghost Town,+ACI-Kanye West, PARTYNEXTDOOR+ACI-,33
68,Sick Like That (feat. Luciana),+ACI-Will Sparks, Luciana+ACI-,32
69,Clarity,Vance Joy,31
70,Run to Paradise,Choirboys,30
71,Moments (feat. Gavin James),+ACI-Bliss n Eso, Gavin James+ACI-,29
72,Tiny Cities,+ACI-Flume, Beck+ACI-,28
73,In The Air +AC0- Original Mix,Will Sparks,27
74,Tombstone,+ACI-Will Sparks, SCNDL+ACI-,26
75,The Chain +AC0- 2004 Remaster,Fleetwood Mac,25
76,Skinny Love,Bon Iver,24
77,+ACI-Another Brick in the Wall, Pt. 2+ACI-,Pink Floyd,23
78,Eagle Rock +AC0- 2011 Remaster,Daddy Cool,22
79,Royals,Lorde,21
80,Ravers Army,Vini Vici,20
81,Let It Happen,Tame Impala,19
82,Flamenco,Will Sparks,18
83,8 (circle),Bon Iver,17
84,Redbone,Childish Gambino,16
85,Kids These Days,Will Sparks,15
86,Myriad,+ACI-Will Sparks, Samual James+ACI-,14
87,Stronger,Kanye West,13
88,My Happiness +AC0- One Night Lonely,Powderfinger,12
89,My Time,+ACI-Will Sparks, Alex Jones+ACI-,11
90,Superstar (feat. Matthew Santos),+ACI-Lupe Fiasco, Matthew Santos+ACI-,10
91,the angel of 8th ave.,Gang of Youths,9
92,Solid Rock +AC0- Remastered Version,Goanna,8
93,Beast Of Burden +AC0- Remastered 1994,The Rolling Stones,7
94,When the Lights Go Out +AC0- Radio Edit,+ACI-Will Sparks, Troi+ACI-,6
95,Promiscuous +AC0- Extended Mix,+ACI-Laidback Luke, Will Sparks, Alicia Madison+ACI-,5
96,Heartbreaker,Northeast Party House,4
97,This Is What the Bounce Is,Will Sparks,3
98,Life's Midnight,Bliss n Eso,2
99,Firestone,+ACI-Kygo, Conrad Sewell+ACI-,1
