track,artist,weight
Late Night,Tobiahs,110
Because You Move Me,"Tinlicker, Helsloot",109
Hurricane,Kanye West,108
Yesteryear,Cosmo's Midnight,107
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,106
Weekend,"Flume, Moses Sumney",105
NORTH,The Kite String Tangle,104
I Luv U Baby (Radio Mix),The Original,103
Classic,"F-POS, Gold Fang, Moody Beach",102
I Feel Better,Hot Chip,101
Late Night Feelings (feat. Lykke Li),"Mark Ronson, Lykke Li",90
Used To Love (with Dean Lewis),"Martin Garrix, Dean Lewis",89
Feed The Fire (feat. Lucky Daye),"SG Lewis, Lucky Daye",88
Lucky,"PNAU, Vlossom",87
Cry,Cat & Calmell,86
Streets - Disclosure Remix,"Doja Cat, Disclosure",85
Lost In Yesterday,Tame Impala,84
Chemicals (feat. Master Peace) - Remix,"SG Lewis, Master Peace",83
The Prize (feat. Bridgette Amofah),"The Kite String Tangle, Bridgette Amofah",82
Things I Thought Were Mine,Alfie Templeman,81
Catch Your Breath,Vlossom,80
There For You,"Gorgon City, MK",79
Ticks Me Off,Lime Cordiale,78
Think About Things,Daði Freyr,77
Good Times,Genesis Owusu,76
Let You Know,"Flume, London Grammar",75
YOU'RE THE ONE,"KAYTRANADA, Syd",74
Stay (feat. Dana Williams),"The Aston Shuffle, Fabich, Dana Williams",73
"Elliot's Song - From ""Euphoria"" An HBO Original Series","Dominic Fike, Zendaya",72
Tondo,"Disclosure, Eko Roosevelt",71
Friends,"Flume, Reo Cragun",70
Solid Gold,"PNAU, Kira Divine, Marques Toliver",69
Lose My Cool - Franc Moody Remix,"Amber Mark, Franc Moody",68
Keep Moving - Dave Lee Remix Edit,"Jungle, Dave Lee",67
deep end,Lykke Li,66
Good Karma Lover,Vlossom,65
Love Again,Dua Lipa,64
Heat Waves,Glass Animals,63
In My Mind - Northeast Party House Remix,"Alice Ivy, Ecca Vandal, Northeast Party House",62
Can't Do Without You,Caribou,61
R U HIGH (feat. Mallrat),"The Knocks, Mallrat",60
Adore You,Harry Styles,59
FEEL SOMETHING DIFFERENT,"Bea Miller, Aminé",58
I’m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",57
C.U.D.I (Can U Dig It),Cosmo's Midnight,56
Foreign Language,"Flight Facilities, Jess",55
Caribbean Blue - 2009 Remaster,Enya,54
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",53
Remember,"Becky Hill, David Guetta",52
Feed The Rhythm,Client Liaison,51
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",50
Still Don't Know My Name,Labrinth,49
Is It True,Tame Impala,48
Butterflies (with Starrah & Four Tet),"Skrillex, Starrah, Four Tet",47
Waves,Kanye West,46
Blue - Flume Remix,"Eiffel 65, Flume",45
Damage,"PARTYNEXTDOOR, Halsey",44
Another Chance,Roger Sanchez,43
It's Not The Same Anymore,Rex Orange County,42
Numb,Elderbrook,41
Jet Black (feat. Brandy),"Anderson .Paak, Brandy",40
Sundress,A$AP Rocky,39
Loving Is Easy,"Rex Orange County, Benny Sings",38
Have It All (feat. Age.Sex.Location),"Cosmo's Midnight, Age.Sex.Location",37
When I R.I.P.,Labrinth,36
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",35
"The Deepest Sighs, the Frankest Shadows",Gang of Youths,34
Morning In Love - Original Mix,"Addal, Lisa May",33
Rushing Back,"Flume, Vera Blue",32
Freed from Desire,Gala,31
Juice,"Young Franco, Pell",30
When I'm Around You,Running Touch,29
Straight Up Relaxin' (feat. Cosmo's Midnight),"Yung Bae, Cosmo's Midnight",28
This Thing We Got,The Kite String Tangle,27
good 4 u,Olivia Rodrigo,26
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",25
Waiting for Nothing (feat. Yaeger),"Hayden James, Yaeger",24
DYSFUNCTIONAL,"KAYTRANADA, VanJess",23
Photo ID (with Dominic Fike),"Remi Wolf, Dominic Fike",22
Where Are You Now,"Lost Frequencies, Calum Scott",21
Crossing Borders (feat. Fritz Kalkbrenner) [Kolombo Remix],Booka Shade,20
Dribble,Sycco,19
Feel My Needs,WEISS,18
Live Without Your Love (with Steve Lacy),"Love Regenerator, Steve Lacy, Calvin Harris",17
Sorry,Madonna,16
Love Signs,The Jungle Giants,15
Let's Go (Remix) (feat. GoldLink),"Khalid, GoldLink",14
Lavender,"Disclosure, Channel Tres",13
Don't Start Now,Dua Lipa,12
Happy People,"Wh0, Byron Stingily",11
LMK,Kelela,10
Everybody Dance,"Nile Rodgers, Cedric Gervais, Franklin",9
Borderline,Tame Impala,8
In My Arms,Purple Disco Machine,7
Mighty Knight,Dubbel Drop,6
Lights Up (feat. Channel Tres),"Flight Facilities, Channel Tres",5
Day 'N' Nite (Nightmare),Kid Cudi,4
Music Sounds Better with You,NEIL FRANCES,3
Your Song,Elton John,2
Like a Prayer,Madonna,1
