,track,artist,weight
0,Stargazing,The Neighbourhood,110
1,Elastic,Joey Purp,109
2,Herside Story,"GoldLink, Hare Squead",108
3,Goodie Bag,Still Woozy,107
4,Flex,Piff Marti,106
5,Pink + White,Frank Ocean,105
6,Music For a Sushi Restaurant,Harry Styles,104
7,Mystery Lady,"Masego, Don Toliver",103
8,TROJAN HORSE,SEBASTIAN PAUL,102
9,The Difference,"Flume, Toro y Moi",101
10,Close To You,Dayglow,90
11,Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos, Funk Wav",89
12,Blue World,Mac Miller,88
13,Violent Crimes,Kanye West,87
14,Disco Man,Remi Wolf,86
15,Water,BAYNK,85
16,Strawberry Skies,Kid Travis,84
17,Matilda,Harry Styles,83
18,Tadow,"Masego, FKJ",82
19,Wild Irish Roses,Smino,81
20,The Spins,Mac Miller,80
21,Music Sounds Better with You,NEIL FRANCES,79
22,Reborn,KIDS SEE GHOSTS,78
23,Borderline,Tame Impala,77
24,Good Days,SZA,76
25,July,Noah Cyrus,75
26,Late Night Talking,Harry Styles,74
27,No Idea,Don Toliver,73
28,Peach,Kevin Abstract,72
29,BLEACH,BROCKHAMPTON,71
30,Hell N Back,Bakar,70
31,SLOW DANCING IN THE DARK,Joji,69
32,Mount Everest,Labrinth,68
33,Unwritten,Natasha Bedingfield,67
34,everything i wanted,Billie Eilish,66
35,CANDYPAINT,Joey Purp,65
36,Honesty,Pink Sweat$,64
37,As It Was,Harry Styles,63
38,Summertime In Paris,"Jaden, WILLOW",62
39,Lost,Frank Ocean,61
40,Feels Right,Biig Piig,60
41,Budapest,George Ezra,59
42,From the Dining Table,Harry Styles,58
43,Miss Independent,Ne-Yo,57
44,Redbone,Childish Gambino,56
45,Girls @ (feat. Chance the Rapper),"Joey Purp, Chance the Rapper",55
46,Your Man,Joji,54
47,The Thrill,"Wiz Khalifa, Empire Of The Sun",53
48,First Class,Jack Harlow,52
49,Rich Girl,Daryl Hall & John Oates,51
50,Dreams - 2004 Remaster,Fleetwood Mac,50
51,Formula,Labrinth,49
52,ON SOME HIGH,SEBASTIAN PAUL,48
53,Things Are Changin',Gary Clark Jr.,47
54,Crush,Souly Had,46
55,My Girl,The Temptations,45
56,YOU'RE THE ONE,"KAYTRANADA, Syd",44
57,When You Were Mine,Joy Crookes,43
58,Crush,Duckwrth,42
59,Funny Thing,Thundercat,41
60,Awaken,Big Wild,40
61,777,Joji,39
62,Killing Me,"Sasha Keable, Jorja Smith",38
63,Little Freak,Harry Styles,37
64,peas,boylife,36
65,Riptide,Vance Joy,35
66,Disco Yes,"Tom Misch, Poppy Ajudha",34
67,Daydreaming,Harry Styles,33
68,Sunflower,Rex Orange County,32
69,Electric Love,BØRNS,31
70,Glimpse of Us,Joji,30
71,Shut up My Moms Calling,Hotel Ugly,29
72,No Role Modelz,J. Cole,28
73,Nobody But You,"Sonder, Jorja Smith",27
74,American Boy,"Estelle, Kanye West",26
75,Off My Face,Justin Bieber,25
76,Feel Good Inc.,Gorillaz,24
77,Animal,Neon Trees,23
78,Paradise,Bazzi,22
79,Table for Two,"edbl, Tilly Valentine, Bran Mazz",21
80,Let's Fall in Love for the Night,FINNEAS,20
81,damn Right,AUDREY NUNA,19
82,Heebiejeebies - Bonus,"Aminé, Kehlani",18
83,All Night Long (All Night) - Single Version,Lionel Richie,17
84,1950,King Princess,16
85,Mr. Hollywood,Joji,15
86,Where Were You In The Morning?,Shawn Mendes,14
87,Wicked Games,Kiana Ledé,13
88,Window,Still Woozy,12
89,Loving Is Easy,"Rex Orange County, Benny Sings",11
90,Late Night Feelings (feat. Lykke Li),"Mark Ronson, Lykke Li",10
91,Magic In The Hamptons (feat. Lil Yachty),"Social House, Lil Yachty",9
92,Brazil,Declan McKenna,8
93,hello!,ROLE MODEL,7
94,Say Nothing (feat. MAY-A),"Flume, MAY-A",6
95,Day 'N' Nite (Nightmare),Kid Cudi,5
96,All My Friends (feat. Tinashe & Chance the Rapper),"Snakehips, Tinashe, Chance the Rapper",4
97,My Head Is A Jungle - MK Remix - Radio Edit,"Wankelmut, Emma Louise, MK",3
98,Still Don't Know My Name,Labrinth,2
99,Egyptian Luvr (feat. Aminé and Dana Williams),"Rejjie Snow, Aminé, Dana Williams",1
