,track,artist,weight
0,Hasta Los Dientes,"Camila Cabello, Maria Becerra",110
1,Rocky Mountain High,John Denver,109
2,Operator (That's Not the Way It Feels),Jim Croce,108
3,Death Defying - 2005 Remaster,Hoodoo Gurus,107
4,I Want You Back - Remaster 2005,Hoodoo Gurus,106
5,Scenes from an Italian Restaurant,Billy Joel,105
6,Lola (feat. Yotuel),"Camila Cabello, Yotuel",104
7,1000 Miles Away - 2005 Remaster,Hoodoo Gurus,103
8,Come Anytime,Hoodoo Gurus,102
9,Only the Good Die Young,Billy Joel,101
10,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,90
11,Like Wow - Wipeout! - 2005 Remaster,Hoodoo Gurus,89
12,New York's Not My Home,Jim Croce,88
13,Come Said The Boy - Digitally Remastered,Mondo Rock,87
14,My Girl - Remaster 2005,Hoodoo Gurus,86
15,Running on Empty - Remastered,Jackson Browne,85
16,Miss Freelove '69 - 2005 Remaster,Hoodoo Gurus,84
17,What's My Scene - 2005 Remaster,Hoodoo Gurus,83
18,Shiny Happy People,R.E.M.,82
19,Tequila Sunrise - 2013 Remaster,Eagles,81
20,Wham Bam Shang-A-Lang,Silver,80
21,Leilani - Remaster 2005,Hoodoo Gurus,79
22,Peaceful Easy Feeling - 2013 Remaster,Eagles,78
23,Seven Wonders - 2017 Remaster,Fleetwood Mac,77
24,Go Your Own Way - 2004 Remaster,Fleetwood Mac,76
25,I'll Have To Say I Love You In A Song,Jim Croce,75
26,Rhinestone Cowboy - Remastered,Glen Campbell,74
27,"Get Outta My Dreams, Get Into My Car",Billy Ocean,73
28,Bittersweet - 2005 Remaster,Hoodoo Gurus,72
29,Dance Hall Days,Wang Chung,71
30,You Open My Eyes - Remaster 2005,Hoodoo Gurus,70
31,You Can't Hurry Love - 2016 Remaster,Phil Collins,69
32,The Long Run - 2013 Remaster,Eagles,68
33,I Got a Name - Stereo Version,Jim Croce,67
34,I Got You Babe,Sonny & Cher,66
35,Eleanor Rigby - Remastered 2009,The Beatles,65
36,Caribbean Queen (No More Love On the Run),Billy Ocean,64
37,Miss You - Remastered,The Rolling Stones,63
38,Everywhere - 2017 Remaster,Fleetwood Mac,62
39,Forgot About Dre,"Dr. Dre, Eminem",61
40,Two Tickets to Paradise (2022 Remaster),Eddie Money,60
41,She's Always a Woman,Billy Joel,59
42,Jumpin' Jack Flash,The Rolling Stones,58
43,That's Amore - Remastered,Dean Martin,57
44,I'm a Believer - 2006 Remaster,The Monkees,56
45,Yesterday - Remastered 2009,The Beatles,55
46,Money,Pink Floyd,54
47,Patience,Guns N' Roses,53
48,The Wreck of the Edmund Fitzgerald,Gordon Lightfoot,52
49,I Need A Lover,John Mellencamp,51
50,Take It to the Limit - 2013 Remaster,Eagles,50
51,I Was Made For Lovin' You,KISS,49
52,Tojo - Remaster 2005,Hoodoo Gurus,48
53,Un Raggio Di Sole,Jovanotti,47
54,Lake Shore Drive,Aliotta Haynes Jeremiah,46
55,Waking Up Tired - Remaster 2005,Hoodoo Gurus,45
56,Can't You Hear Me Knocking - 2009 Mix,The Rolling Stones,44
57,Miracles,Jefferson Starship,43
58,Sexual Healing - Kygo Remix,"Marvin Gaye, Kygo",42
59,Lyin' Eyes - 2013 Remaster,Eagles,41
60,One of These Nights - 2013 Remaster,Eagles,40
61,Don't Go Breaking My Heart,"Elton John, Kiki Dee",39
62,The Best of My Love - 2013 Remaster,Eagles,38
63,Heartache Tonight - 2013 Remaster,Eagles,37
64,You've Got a Friend - 2019 Remaster,James Taylor,36
65,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,35
66,The Load-Out - Remastered,Jackson Browne,34
67,Crocodile Rock,Elton John,33
68,The Right Time - Remaster 2005,Hoodoo Gurus,32
69,Rhiannon,Fleetwood Mac,31
70,Most People I Know Think That I'm Crazy (Live) (Bonus Track),Billy Thorpe & The Aztecs,30
71,Georgia,Vance Joy,29
72,Desperado - 2013 Remaster,Eagles,28
73,Lick It Up,KISS,27
74,What a Fool Believes,The Doobie Brothers,26
75,"Bem, Bem, Maria",Gipsy Kings,25
76,Jerk It Out,Caesars,24
77,Crazy Little Thing Called Love - Remastered 2011,Queen,23
78,Time in a Bottle,Jim Croce,22
79,Won't Get Fooled Again - Original Album Version,The Who,21
80,Hotel California - 2013 Remaster,Eagles,20
81,Who Are You,The Who,19
82,My Life,Billy Joel,18
83,Life in the Fast Lane - 2013 Remaster,Eagles,17
84,Ooh La La,Rod Stewart,16
85,You May Be Right,Billy Joel,15
86,These Days,Jackson Browne,14
87,Jane,Jefferson Starship,13
88,How to Make Gravy,Paul Kelly,12
89,Dreams - 2004 Remaster,Fleetwood Mac,11
90,Lay It On Me - Said the Sky Remix,"Vance Joy, Said The Sky",10
91,Roller Derby Queen,Jim Croce,9
92,Take It Easy - 2013 Remaster,Eagles,8
93,Thorn in My Side - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",7
94,"Paint It, Black",The Rolling Stones,6
95,Every Rose Has Its Thorn - 2003 Remaster,Poison,5
96,Jessie's Girl,Rick Springfield,4
97,I Think We're Alone Now,Tiffany,3
98,Blue Monday - 2011 Total Version,New Order,2
99,Voodoo Child (Slight Return),Jimi Hendrix,1
