,track,artist,weight
0,Haunted - Dimatik Radio Edit,"MaRLo, Dimatik, Jano",110
1,Kari’s Song (Long Way Home) [feat. Tati] [Original Music from the Netflix Film “Beats”],"HappyBirthdayCalvin, Tati",109
2,Borderline,"MaRLo, Roxanne Emery",108
3,This I Vow,"Armin van Buuren, MaRLo, Mila Josef",107
4,This Way - Technikore & Suae Remix,"MaRLo, Technikore, Suae, MatricK, Sendr, NOHC",106
5,Quit (feat. Hudson Mohawke),"Gammer, Hudson Mohawke",105
6,When I Grow Up (feat. Wiz Khalifa) - Brennan Heart Remix,"Dimitri Vegas & Like Mike, Wiz Khalifa, Brennan Heart",104
7,Who Let The Dogs Out (feat. EVALINA),"ABOUT THAT, EVALINA",103
8,Lighter Than Air,"MaRLo, Feenixpawl",102
9,Phoenix,"MatricK, Jessie Lee Thetford",101
10,Without Me - Radio Edit,Technikore,90
11,Demon Slayer Reborn,"Dimatik, Suae, Technikal",89
12,Atlantis,MaRLo,88
13,Without You,"Darren Styles, Tweekacore, Da Tweekaz",87
14,Take Control,KREAM,86
15,Forever & Always,"Armin van Buuren, Gareth Emery, Owl City",85
16,Hoogenbanger,MaRLo,84
17,We Go Up - Da Tweekaz Remix,"LNY TNZ, Da Tweekaz",83
18,Skydance,"W&W, AXMO, Giin",82
19,Big Energy (feat. DJ Khaled) - Remix,"Latto, Mariah Carey, DJ Khaled",81
20,Here We Are - Vadim Bonkrashkov Remix,"MaRLo, Emma Chatt, Vadim Bonkrashkov",80
21,First Class,Jack Harlow,79
22,Mundian to Bach Ke (Dimatik Remix),"Panjabi MC, Dimatik",78
23,Hot Plate,"Ben Nicky, SCNDL",77
24,Break Through The Ground - Radio Edit,"MaRLo, AVAO, Maikki",76
25,One By One - Radio Edit,Club Soda,75
26,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",74
27,Punjabi,"Timmy Trumpet, Dimatik",73
28,Say Hello - Radio Edit,"MaRLo, HALIENE",72
29,Hold You,"Zombic, LUNAX",71
30,Freaky Deaky,"Tyga, Doja Cat",70
31,The Chant (feat. Savage),"Dimatik, Restricted, Savage",69
32,Chase the Sun (MaRLo Remix),"Planet Funk, MaRLo",68
33,We Are The Ravers,"Ben Nicky, Olly James, MC Stretch",67
34,Lonesome,Lloyd P-White,66
35,Fight As One,"Sub Zero Project, Dimatik",65
36,For You - Elucidus Remix,"MaRLo, Jantine, Elucidus",64
37,Party People,DJ Isaac,63
38,Blick Blick (with Nicki Minaj),"Coi Leray, Nicki Minaj",62
39,Alone (feat. BJRNCK),"HappyBirthdayCalvin, BJRNCK",61
40,Megalodon - Dimatik Remix,"MaRLo, Dimatik",60
41,Pussy Lovers - Gunz Pumping Remix,Gunz For Hire,59
42,Liquor Store,Joel Corry,58
43,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",57
44,Nothing Is Left,"MaRLo, Achilles",56
45,EURODANCER 2020,"Mangoo, Dimatik",55
46,Dancing,James Hype,54
47,Infinity,R4KIDOR,53
48,Whisper - NGD Project Radio Edit,"MaRLo, HALIENE, NGD Project",52
49,Complicated (feat. Kiiara) - Brennan Heart Remix,"Dimitri Vegas & Like Mike, David Guetta, Kiiara, Brennan Heart",51
50,Baby,"Aitch, Ashanti",50
51,Fly Away - KhoMha Remix,"Vincent de Moor, KhoMha",49
52,Colder - Steve Dekay Remix,"MaRLo, Monika Santucci, Steve Dekay",48
53,Seeing Green (with Drake & Lil Wayne),"Nicki Minaj, Drake, Lil Wayne",47
54,Daddy Cool,Boney M.,46
55,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,45
56,A Thousand Seas - Marcus Santoro Extended Remix,"MaRLo, Roxanne Emery, Marcus Santoro",44
57,Ride With Me (feat. Kid Ink) - Brennan Heart Remix,"Tungevaag, Kid Ink, Brennan Heart",43
58,Ferrari,"James Hype, Miggy Dela Rosa",42
59,DYSYLM,"Gammer, Darren Styles",41
60,The Dreamers - Radio Edit,"MaRLo, Jano",40
61,It Ain't Right,Shane Codd,39
62,Ride It - Jonas Blue Remix,"Regard, Jonas Blue",38
63,Breaking Me - HUGEL Remix,"Topic, A7S, HUGEL",37
64,Say Hello - Darren Porter Radio Edit,"MaRLo, HALIENE, Darren Porter",36
65,Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,"David Guetta, MORTEN, Sia",35
66,Wild Night,"Michael Calfan, Hannah Boleyn",34
67,Abbronzatissima,"VINAI, HÄWK",33
68,Superspace - FORCES Remix,"MaRLo, FORCES",32
69,Bateria,Static & Ben El,31
70,March Of The LG,"Dimatik, BDN, GRN",30
71,Booty (feat. Latto),"Saucy Santana, Latto",29
72,A Thousand Seas - Dan Stone Remix,"MaRLo, Roxanne Emery, Dan Stone",28
73,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",27
74,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",26
75,Chasing Highs - Felix Cartal Remix,"ALMA, Felix Cartal",25
76,The Dreamers - Eric Senn Remix,"MaRLo, Jano, Eric Senn",24
77,Happy Now - R3HAB Remix,"Kygo, Sandro Cavazza, R3HAB",23
78,Back To The Sound,Eden Prince,22
79,I Know You (feat. Bastille) - Vigiland Remix,"Craig David, Bastille, Vigiland",21
80,Visions,MaRLo,20
81,Flexin,Mike Candys,19
82,Ocarina - Brennan Heart Remix,"Dimitri Vegas & Like Mike, Wolfpack",18
83,Outta My Break Down Low,"Brennan Heart, Crypsis",17
84,Feel It,"Will Sparks, MaRLo",16
85,Calm The Storm,"Super8 & Tab, Roxanne Emery",15
86,My Humps,"Joshwa, Lee Foss",14
87,Mad Love - Blinkie Remix,"Mabel, Blinkie",13
88,Space Journey - Boris Foong Remix,"MaRLo, Boris Foong",12
89,Memories (feat. Kid Cudi) - 2021 Remix,"David Guetta, Kid Cudi",11
90,Treat Me,Chlöe,10
91,Dua Lipa,Jack Harlow,9
92,Hold It Together - Exis Remix,"MaRLo, Christina Novelli, Exis",8
93,Gravity - Daxson Remix,"Aly & Fila, Deirdre McLaughlin, Daxson",7
94,You'll Be OK - Giuseppe Ottaviani Remix,"Gareth Emery, Annabel, Giuseppe Ottaviani",6
95,You Give Me A Feeling,"Vintage Culture, James Hype",5
96,You And Me,"MaRLo, Chloe",4
97,Rockin Ur Mind,D-Block & S-te-Fan,3
98,Coming Back To You,"Brennan Heart, Jonathan Mendelsohn",2
99,The Parade,"Joel Corry, Da Hool",1
