,track,artist,weight
0,So Hot You're Hurting My Feelings,Caroline Polachek,110
1,Evergreen,Ryan Beatty,109
2,Haircut,Ryan Beatty,108
3,Photo ID (with Dominic Fike),"Remi Wolf, Dominic Fike",107
4,The Spins,Mac Miller,106
5,Fkn Around (feat. Megan Thee Stallion),"Phony Ppl, Megan Thee Stallion",105
6,Cabin Fever,Jaden,104
7,Vampire,Dominic Fike,103
8,The Dress,Dijon,102
9,If You’re Too Shy (Let Me Know),The 1975,101
10,Feed The Fire (feat. Lucky Daye),"SG Lewis, Lucky Daye",90
11,Everything Is Embarrassing,Sky Ferreira,89
12,Many Times,Dijon,88
13,Robbers,The 1975,87
14,Throwaway (with Clairo),"SG Lewis, Clairo",86
15,Every Hour,KIAN,85
16,Talk Down,Dijon,84
17,Lovestained,Hope Tala,83
18,Under Pressure - Remastered 2011,"Queen, David Bowie",82
19,Miami,Will Smith,81
20,Disco Man,Remi Wolf,80
21,Beige,"Terrace Martin, Arin Ray, Elena Pinderhughes",79
22,Larger Than Life,Backstreet Boys,78
23,Blue World,Mac Miller,77
24,Arty Boy,"Flight Facilities, Emma Louise",76
25,Dreams - 2004 Remaster,Fleetwood Mac,75
26,Lavender,Dreamer Boy,74
27,Everybody’s Gonna Love Somebody - Edit,Alfie Templeman,73
28,Low,Chet Faker,72
29,the angel of 8th ave.,Gang of Youths,71
30,Lucky,Choker,70
31,212,"Azealia Banks, Lazy Jay",69
32,P.Y.T. (Pretty Young Thing),Michael Jackson,68
33,Window,Still Woozy,67
34,Skip To The Good Bit,Rizzle Kicks,66
35,Smithereens,"Rasharn Powell, AB001",65
36,When I Get My Braces Off,Mallrat,64
37,Summer Rain feat. thatboykwame,"Wave Racer, thatboykwame",63
38,SYNCOPATE,MICHELLE,62
39,A Kiss,THE DRIVER ERA,61
40,You,"Regard, Troye Sivan, Tate McRae",60
41,in the wake of your leave,Gang of Youths,59
42,Every Little Thing,Boomchild,58
43,Lay All Your Love On Me,ABBA,57
44,Love You For A Long Time,Maggie Rogers,56
45,Heroes,Gang of Youths,55
46,Cold Shoulder,Boomchild,54
47,Daffodils (feat. Kevin Parker),"Mark Ronson, Kevin Parker",53
48,For Good,"REMI, Sampa the Great",52
49,returner,Gang of Youths,51
50,Nothing New,The Strike,50
51,Woo!,Remi Wolf,49
52,good 4 u,Olivia Rodrigo,48
53,Tondo,"Disclosure, Eko Roosevelt",47
54,Simple,"Dreamer Boy, Savanna Dohler, Jamiah",46
55,THATS WHAT I WANT,Lil Nas X,45
56,Get You High,HARBOUR,44
57,Dynasty,Pen Pals,43
58,12:34 AM,"Billy Lemos, Omar Apollo, Maxwell Young",42
59,Casino,Ryan Beatty,41
60,With U,"Cosmo's Midnight, Panama",40
61,Slow It Down,"Dugong Jr, Jordan Dennis",39
62,you in everything,Gang of Youths,38
63,Extra,Lucky Daye,37
64,Sunrise,"Alice Ivy, Cadence Weapon",36
65,MONTERO (Call Me By Your Name),Lil Nas X,35
66,nevermind,Valley,34
67,Lemon,"N.E.R.D, Rihanna, Pharrell Williams",33
68,Love Is in the Air - triple j Like A Version,Stella Donnelly,32
69,More Than A Woman - SG's Paradise Edit,"Bee Gees, SG Lewis",31
70,Flesh and Blood,Franc Moody,30
71,Don't Start Now - Purple Disco Machine Remix,"Dua Lipa, Purple Disco Machine",29
72,Nico's Red Truck,Dijon,28
73,waves - Tame Impala Remix,"Miguel, Tame Impala",27
74,Kiss It Better - KAYTRANADA Edition,Rihanna,26
75,Does Your Mother Know,ABBA,25
76,This Is the Life,Two Door Cinema Club,24
77,Remind Me to Forget,"Kygo, Miguel",23
78,Take My Breath - Single Version,The Weeknd,22
79,Kiss It Better,Rihanna,21
80,Cheesin',"Cautious Clay, Remi Wolf, sophie meiers, Still Woozy, Claud, Melanie Faye, HXNS",20
81,tend the garden,Gang of Youths,19
82,Bluff,"Dreamer Boy, estef",18
83,The furniture song,Banfi,17
84,Love Again,Dua Lipa,16
85,OUTTA MY MIND,Monsune,15
86,Love Me For The Weekend (with Ashe),"Party Pupils, MAX, Ashe",14
87,May I Have This Dance (Remix) [feat. Chance the Rapper],"Francis and the Lights, Chance the Rapper",13
88,Southside Fade,reggie,12
89,Greek Tragedy - Oliver Nelson TikTok Remix,"The Wombats, Oliver Nelson",11
90,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",10
91,Surfin',"Kid Cudi, Pharrell Williams",9
92,Smart Aleck Kill,"SG Lewis, Col3trane",8
93,Cellar Door,Angus & Julia Stone,7
94,Futon,Ūla,6
95,The Real Thing,Client Liaison,5
96,Can't Do Without (My Baby),Cosmo's Midnight,4
97,Puppy Dog,Dreamer Boy,3
98,Feels Like Summer,Childish Gambino,2
99,Acid Dreams,"MAX, Felly",1
