,track,artist,weight
0,Through The Wire,Kanye West,110
1,Family Business,Kanye West,109
2,The Downeaster 'Alexa',Billy Joel,108
3,Jesus Walks,Kanye West,107
4,Jail,Kanye West,106
5,Say Nothing (feat. MAY-A),"Flume, MAY-A",105
6,brothers,Gang of Youths,104
7,Waiting For Nothing (feat. Yaeger),"Hayden James, Yaeger",103
8,Never Let Me Down,"Kanye West, JAY-Z, J. Ivy",102
9,Remember,"Becky Hill, David Guetta",101
10,Where Are Ü Now (with Justin Bieber),"Jack Ü, Skrillex, Diplo, Justin Bieber",90
11,Friends,"Flume, Reo Cragun",89
12,Hey Mama,Kanye West,88
13,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",87
14,What Do You Mean?,Justin Bieber,86
15,All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",85
16,Waves,Kanye West,84
17,Blue - Flume Remix,"Eiffel 65, Flume",83
18,One Right Now (with The Weeknd),"Post Malone, The Weeknd",82
19,"Elliot's Song - From ""Euphoria"" An HBO Original Series","Dominic Fike, Zendaya",81
20,Hurricane,Kanye West,80
21,Let's Go (Remix) (feat. GoldLink),"Khalid, GoldLink",79
22,May I Have This Dance (Remix) [feat. Chance the Rapper],"Francis and the Lights, Chance the Rapper",78
23,Ghost,Justin Bieber,77
24,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",76
25,Kill For Your Love,Labrinth,75
26,Your Song,Elton John,74
27,Sacrifice,The Weeknd,73
28,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",72
29,Hold My Girl,George Ezra,71
30,FEEL SOMETHING DIFFERENT,"Bea Miller, Aminé",70
31,Home,"Vince Staples, Richie Kohan",69
32,Conversations with my Wife,Jon Bellion,68
33,When You Love Someone,James TW,67
34,Excavate (feat. Saint Claire),"Macklemore, Saint Claire",66
35,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",65
36,CHANCES,"KAYTRANADA, Shay Lia",64
37,Get It Right (feat. MØ & GoldLink) - Remix,"Diplo, MØ, GoldLink",63
38,Good Old Days (feat. Kesha),"Macklemore, Kesha",62
39,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",61
40,Happier,"Marshmello, Bastille",60
41,THATS WHAT I WANT,Lil Nas X,59
42,You’re The Best Thing About Me - U2 Vs. Kygo,"U2, Kygo",58
43,There for You,"Martin Garrix, Troye Sivan",57
44,Good Grief - Don Diablo Remix,"Bastille, Don Diablo",56
45,Lemon,"N.E.R.D, Rihanna, Pharrell Williams",55
46,I Think Of You,"Jeremih, Chris Brown, Big Sean",54
47,Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez",53
48,Late Night,Tobiahs,52
49,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",51
50,Jet Black (feat. Brandy),"Anderson .Paak, Brandy",50
51,Pussy Is God,King Princess,49
52,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",48
53,Carry Me (feat. Julia Michaels),"Kygo, Julia Michaels",47
54,Anyone,Justin Bieber,46
55,Mighty Knight,Dubbel Drop,45
56,Love Signs,The Jungle Giants,44
57,First Time,"Kygo, Ellie Goulding",43
58,Shots - Broiler Remix,"Imagine Dragons, Broiler",42
59,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",41
60,Good Times,Genesis Owusu,40
61,Paradise,George Ezra,39
62,Ballin Flossin,"Chance the Rapper, Shawn Mendes",38
63,Sundress,A$AP Rocky,37
64,One Day (feat. Ryan Tedder),"Logic, Ryan Tedder",36
65,Coke & Henny Pt. 2,Pink Sweat$,35
66,Blinding Lights,The Weeknd,34
67,In My Mind,"Dynoro, Gigi D'Agostino",33
68,Angels (feat. Saba),"Chance the Rapper, Saba",32
69,Tints (feat. Kendrick Lamar),"Anderson .Paak, Kendrick Lamar",31
70,Is This Love - Remix,"Bob Marley & The Wailers, LVNDSCAPE, Bolier",30
71,Rushing Back,"Flume, Vera Blue",29
72,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",28
73,I’m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",27
74,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",26
75,Weekend,"Flume, Moses Sumney",25
76,"September - Throttle x Earth, Wind & Fire","Throttle, Earth, Wind & Fire",24
77,Lift Off,Labrinth,23
78,Surfin',"Kid Cudi, Pharrell Williams",22
79,3005,Childish Gambino,21
80,Giant (with Rag'n'Bone Man),"Calvin Harris, Rag'n'Bone Man",20
81,With You,"Fetty Wap, KDL",19
82,Like Gold,Vance Joy,18
83,I Fall Apart,Post Malone,17
84,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)","Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande",16
85,Stranger Things (feat. OneRepublic),"Kygo, OneRepublic",15
86,Fast Car,"Jonas Blue, Dakota",14
87,Another Chance,Roger Sanchez,13
88,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams",12
89,Yummy,Justin Bieber,11
90,How to Play the Flute (feat. King Draino),"Macklemore, King Draino",10
91,Didn't I,OneRepublic,9
92,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean",8
93,My People,"REMI, Sensible J",7
94,Ball For Me (feat. Nicki Minaj),"Post Malone, Nicki Minaj",6
95,Cross Me (feat. Chance the Rapper & PnB Rock),"Ed Sheeran, Chance the Rapper, PnB Rock",5
96,"Audio (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",4
97,Be As You Are - JordanXL Remix,"Mike Posner, JordanXL",3
98,Young Dumb & Broke,Khalid,2
99,Let You Know,"Flume, London Grammar",1
