,track,artist,weight
0,As It Was,Harry Styles,110
1,CUFF IT,Beyoncé,109
2,Vintage - Flight Facilities Remix,"Blu DeTiger, Flight Facilities",108
3,About Damn Time,Lizzo,107
4,10 Things I Hate About You,Leah Kate,106
5,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",105
6,Give It To Me - Full Vocal Mix,Matt Sassari,104
7,this is what falling in love feels like,JVKE,103
8,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",102
9,2 Be Loved (Am I Ready),Lizzo,101
10,GROWING UP IS _____,Ruel,90
11,Twisted Mind,"Purple Disco Machine, Agnes",89
12,Fly Me To The Moon (In Other Words),"Frank Sinatra, Count Basie",88
13,Sunroof,"Nicky Youre, dazy",87
14,Light Switch,Charlie Puth,86
15,she's all i wanna be,Tate McRae,85
16,It's A Killa,"FISHER, Shermanology",84
17,"Theme From New York, New York",Frank Sinatra,83
18,this is what heartbreak feels like,JVKE,82
19,Say Nothing (feat. MAY-A),"Flume, MAY-A",81
20,Love Signs,The Jungle Giants,80
21,That's Life,Frank Sinatra,79
22,Afraid To Feel,LF SYSTEM,78
23,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",77
24,Keep Driving,Harry Styles,76
25,Heavy (feat. Your Smith),"Flight Facilities, Your Smith",75
26,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",74
27,Super Freaky Girl,Nicki Minaj,73
28,Music For a Sushi Restaurant,Harry Styles,72
29,Foreign Language (feat. Jess),"Flight Facilities, Jess",71
30,Sun Came Up,"Sofi Tukker, John Summit",70
31,Wait a Minute!,WILLOW,69
32,Late Night Talking,Harry Styles,68
33,Wired (with Ella Eyre),"Sonny Fodera, Ella Eyre",67
34,Losing Touch,Franc Moody,66
35,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams",65
36,Hold Tight,Hayden James,64
37,Boyfriend,Dove Cameron,63
38,Formula,Labrinth,62
39,Dopamine,Franc Moody,61
40,"The Winner Takes It All - From ""Mamma Mia!""",Meryl Streep,60
41,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",59
42,Heat Waves,Glass Animals,58
43,Cranky Boy,Northeast Party House,57
44,"World, Hold On - Radio Edit","Bob Sinclar, Steve Edwards",56
45,Following the Sun,"SUPER-Hi, NEEKA",55
46,Lots of Nothing,Spacey Jane,54
47,Running Up That Hill (A Deal With God),Kate Bush,53
48,End Game,"Taylor Swift, Ed Sheeran, Future",52
49,Holiday,Confidence Man,51
50,edamame,"bbno$, Rich Brian",50
51,Sending Me Ur Loving,The Jungle Giants,49
52,Can't Do Without (My Baby),Cosmo's Midnight,48
53,First Class,Jack Harlow,47
54,MIDDLE OF THE NIGHT,Elley Duhé,46
55,Dance Moves,Franc Moody,45
56,"New To You (with Normani, Tinashe, & Offset)","Calvin Harris, Normani, Tinashe, Offset",44
57,Dream A Little Dream Of Me,"Ella Fitzgerald, Louis Armstrong",43
58,Emotion,Purple Disco Machine,42
59,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",41
60,Move,"Flight Facilities, DRAMA",40
61,Beyond,Leon Bridges,39
62,Does Your Mother Know - From 'Mamma Mia!' Original Motion Picture Soundtrack,"Christine Baranski, Philip Michael",38
63,Kiss Me More (feat. SZA),"Doja Cat, SZA",37
64,good 4 u,Olivia Rodrigo,36
65,Seventeen Going Under,Sam Fender,35
66,golden hour,JVKE,34
67,Skin on Skin,Franc Moody,33
68,What I Want,"Flight Facilities, BROODS",32
69,I'm Not Alone - 2019 Edit,Calvin Harris,31
70,River,Leon Bridges,30
71,OTT,"hard life, BENEE",29
72,Happier Than Ever - Edit,Billie Eilish,28
73,UFO,Sneaky Sound System,27
74,Out of Touch,Daryl Hall & John Oates,26
75,Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack,"Meryl Streep, Julie Walters, Christine Baranski",25
76,The Sun,Myd,24
77,SUMMER RENAISSANCE,Beyoncé,23
78,Dream in Colour,Franc Moody,22
79,Sunday Morning,Maroon 5,21
80,Pleasure Love,"Supafly, De Funk",20
81,Treat You Right,The Jungle Giants,19
82,Painkiller,Ruel,18
83,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,17
84,BREAK MY SOUL,Beyoncé,16
85,C'est La Vie (with bbno$ & Rich Brian),"Yung Gravy, bbno$, Rich Brian",15
86,Super Trouper - From 'Mamma Mia!' Original Motion Picture Soundtrack,"Meryl Streep, Julie Walters, Christine Baranski",14
87,Sunlight (feat. Years & Years) - Radio Edit,"The Magician, Olly Alexander (Years & Years)",13
88,I’m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",12
89,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers",11
90,I Did Something Bad,Taylor Swift,10
91,Turn Me On,Norah Jones,9
92,I'm Good (Blue),"David Guetta, Bebe Rexha",8
93,Coming Home,Leon Bridges,7
94,Heavy Hearted,The Jungle Giants,6
95,Harder To Breathe,Maroon 5,5
96,You & I,"Dabeull, HolyBrune",4
97,July (feat. Leon Bridges),"Noah Cyrus, Leon Bridges",3
98,In Her Eyes,The Jungle Giants,2
99,Miss You,"Oliver Tree, Robin Schulz",1
