track,artist,weight
Tell Your Mom,Georgia Webster,110
Cate’s Brother,Maisie Peters,109
Push & Pull,Georgia Webster,108
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",107
WITHOUT YOU,The Kid LAROI,106
Bossman,Louis Dunford,105
Groceries,Mallrat,104
I’m Trying (Not Friends),Maisie Peters,103
You Can Call Me Al - Recorded at Spotify Studios NYC - Cover Version,Vance Joy,102
Belter,Gerry Cinnamon,101
Tiny Room,Arthur Hill,90
John Hughes Movie,Maisie Peters,89
Little Boy - Live at Red Rocks Amphitheatre,Vance Joy,88
As It Was,Harry Styles,87
Gravity,John Mayer,86
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",85
when you're drunk,LANY,84
Water Under the Bridge,Adele,83
Wellerman - Sea Shanty,Nathan Evans,82
Lights Up,Harry Styles,81
I'm With You - Live at Red Rocks Amphitheatre,Vance Joy,80
UFO,"Mallrat, Allday",79
Weekend In Paradise,JAMIE WEBSTER,78
Music For a Sushi Restaurant,Harry Styles,77
Like Gold - Live at Red Rocks Amphitheatre,Vance Joy,76
Lunar Years,Maisie Peters,75
I Fall Apart,Post Malone,74
Mr. Curiosity,Jason Mraz,73
Best Friend,Ziggy Alberts,72
Worst of You,Maisie Peters,71
Ciao Adios,Anne-Marie,70
Strings,Shawn Mendes,69
Love Me Now,Ziggy Alberts,68
Blonde,Maisie Peters,67
Wordplay,Jason Mraz,66
65th & Ingleside,Chance the Rapper,65
Sofa,Ed Sheeran,64
Place We Were Made,Maisie Peters,63
With You,Chris Brown,62
Crazy,Shawn Mendes,61
Take Your Time - Live at Red Rocks Amphitheatre,Vance Joy,60
Psycho,Maisie Peters,59
Angels,Khalid,58
Fake,"Lauv, Conan Gray",57
Often,The Weeknd,56
Elvis Song,Maisie Peters,55
Coaster,Khalid,54
Runaway,Ziggy Alberts,53
Be Like You,Ed Sheeran,52
Maybe Don't (feat. JP Saxe),"Maisie Peters, JP Saxe",51
Young Dumb & Broke,Khalid,50
Guap,Big Sean,49
Shine,Years & Years,48
Helicopter,Maisie Peters,47
This Is What It Takes,Shawn Mendes,46
Wasted Time - Live at Red Rocks Amphitheatre,Vance Joy,45
Hey Stephen (Taylor’s Version),Taylor Swift,44
In My Head,Maisie Peters,43
Loyal (feat. Lil Wayne & Tyga),"Chris Brown, Lil Wayne, Tyga",42
"Girl Crush - Recorded at Metropolis Studios, London",Harry Styles,41
First Goodbye,Georgia Webster,40
The Party,Maisie Peters,39
Tell Your Friends,The Weeknd,38
Keep Driving,Harry Styles,37
Mean It,"Lauv, LANY",36
Stay Young,Maisie Peters,35
Mess Is Mine - Live at Red Rocks Amphitheatre,Vance Joy,34
American Teen,Khalid,33
Moments,One Direction,32
Birthday,Maisie Peters,31
Call If You Need Me - Live at Red Rocks Amphitheatre,Vance Joy,30
Shot Down,Khalid,29
Sweet Creature,Harry Styles,28
You Signed Up For This,Maisie Peters,27
Molly (feat. Brendon Urie of Panic at the Disco),"Lil Dicky, Brendon Urie",26
Dying in LA,Panic! At The Disco,25
I Won't Give Up,Jason Mraz,24
Take Care Of Yourself,Maisie Peters,23
Alone With Me - Live at Red Rocks Amphitheatre,Vance Joy,22
Therapy,Khalid,21
Cinema,Harry Styles,20
April Showers,Maisie Peters,19
Bonnie & Clyde - Live at Red Rocks Amphitheatre,Vance Joy,18
UGLY,Georgia Webster,17
Late Night Talking,Harry Styles,16
Feels Like This,Maisie Peters,15
Little Boy Intro - Live at Red Rocks Amphitheatre,Vance Joy,14
Another Sad Love Song,Khalid,13
High Hopes,Panic! At The Disco,12
Favourite Ex,Maisie Peters,11
Loving Is Easy,"Rex Orange County, Benny Sings",10
Forget Me,Lewis Capaldi,9
Georgia - Live at Red Rocks Amphitheatre,Vance Joy,8
Smile,Maisie Peters,7
Saved,Khalid,6
Feathered Indians,Tyler Childers,5
We're Going Home - Live at Red Rocks Amphitheatre,Vance Joy,4
This Is On You,Maisie Peters,3
Lego House - Spotify Sessions,Ed Sheeran,2
Sure Thing - Spotify Sessions,Miguel,1
