,track,artist,weight
0,Say Nothing (feat. MAY-A),"Flume, MAY-A",110
1,When You're Gone,Shawn Mendes,109
2,Bad Habit,Steve Lacy,108
3,Just Us (feat. SZA),"DJ Khaled, SZA",107
4,Fall In Love,Caroline Kingsbury,106
5,Rock Your Body,Justin Timberlake,105
6,Mercury,Steve Lacy,104
7,Country Girl (Shake It For Me),Luke Bryan,103
8,Double Negative (Skeleton Milkshake),Dominic Fike,102
9,MAGIC,"Vince Staples, Mustard",101
10,Dani California,Red Hot Chili Peppers,90
11,Static,Steve Lacy,89
12,Needed Me,Rihanna,88
13,Play It Again,Luke Bryan,87
14,Better Now,Post Malone,86
15,Helmet,Steve Lacy,85
16,Pink + White,Frank Ocean,84
17,Girls Want Girls (with Lil Baby),"Drake, Lil Baby",83
18,Can't Feel My Face,The Weeknd,82
19,2Gether (Enterlude),"Steve Lacy, Matt Martians",81
20,Lost,Frank Ocean,80
21,Learn to Fly,Foo Fighters,79
22,(I Just) Died In Your Arms,Cutting Crew,78
23,Cody Freestyle,Steve Lacy,77
24,Signs,"Snoop Dogg, Charlie Wilson, Justin Timberlake",76
25,Californication,Red Hot Chili Peppers,75
26,Da Funk,Daft Punk,74
27,Amber,Steve Lacy,73
28,That's My Kind Of Night,Luke Bryan,72
29,Maybe,N.E.R.D,71
30,There's Nothing Holdin' Me Back,Shawn Mendes,70
31,Sorry Not Sorry,Bryson Tiller,69
32,THATS WHAT I WANT,Lil Nas X,68
33,Westcoast Collective,Dominic Fike,67
34,Claymore (feat. Smino),"Isaiah Rashad, Smino",66
35,Reborn,KIDS SEE GHOSTS,65
36,Stitches,Shawn Mendes,64
37,Sunshine (feat. Fousheé),"Steve Lacy, Fousheé",63
38,Clash (feat. Stormzy),"Dave, Stormzy",62
39,Don’t Forget My Love,"Diplo, Miguel",61
40,Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos, Funk Wav",60
41,It Ain't Over 'Til It's Over,Lenny Kravitz,59
42,Buttons,Steve Lacy,58
43,Wasting Time ( feat. Drake & The Neptunes ),"Brent Faiyaz, Drake, The Neptunes",57
44,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",56
45,Shimmer,Fuel,55
46,Father Stretch My Hands Pt. 1,Kanye West,54
47,Lightning Crashes,Live,53
48,Breakout,Foo Fighters,52
49,Little Brother,Black Star,51
50,I Can't Make It Anymore,Richie Havens,50
51,Sticky,Drake,49
52,Stars In The Sky - From Sonic The Hedgehog 2,Kid Cudi,48
53,The Thrill,Miguel,47
54,Friday I'm In Love,The Cure,46
55,Everlong,Foo Fighters,45
56,Cranky Boy,Northeast Party House,44
57,I Don't Wanna Wait,The War On Drugs,43
58,Off The Ground,Anderson .Paak,42
59,Always Forever,Bryson Tiller,41
60,Heartbeat,Red 7,40
61,First Class,Jack Harlow,39
62,Running Up That Hill (A Deal With God),Kate Bush,38
63,Believe What I Say,Kanye West,37
64,Call Out My Name,The Weeknd,36
65,Gypsy Lover (Soul Mix),Ministry Of Funk,35
66,Dark Necessities,Red Hot Chili Peppers,34
67,Greek Tragedy - Oliver Nelson TikTok Remix,"The Wombats, Oliver Nelson",33
68,Massive,Drake,32
69,Love Theory,Kirk Franklin,31
70,By the Way,Red Hot Chili Peppers,30
71,2010,Earl Sweatshirt,29
72,Happiness,Alexis Jordan,28
73,Fashion Killa,A$AP Rocky,27
74,"Enjoy Right Now, Today","Tyler, The Creator",26
75,Headshots (4r da Locals),Isaiah Rashad,25
76,16,Baby Keem,24
77,SUN CAME OUT,Gunna,23
78,Falling,HAIM,22
79,Good Life,"Kanye West, T-Pain",21
80,Cabin Fever,Jaden,20
81,Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",19
82,Iced Tea,"Joyce Wrice, KAYTRANADA",18
83,TIME TRAVEL,MAVI,17
84,Wham Bam Shang-A-Lang,Silver,16
85,Give You the World,Steve Lacy,15
86,Pineapple Skies,Miguel,14
87,Flight's Booked,Drake,13
88,Drive,Incubus,12
89,Dead Man Walking,Brent Faiyaz,11
90,Wat's Wrong (feat. Zacari & Kendrick Lamar),"Isaiah Rashad, Zacari, Kendrick Lamar",10
91,Feel No Ways,Drake,9
92,Caribbean Queen (No More Love On the Run),Billy Ocean,8
93,3005,Childish Gambino,7
94,Chamber Of Reflection,Mac DeMarco,6
95,untitled 08 | 09.06.2014.,Kendrick Lamar,5
96,If You Could Only See,Tonic,4
97,Just What I Am,"Kid Cudi, King Chip",3
98,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Lindsay Lohan,2
99,Carry on Wayward Son,Kansas,1
