,track,artist,weight
0,In My Mind - Northeast Party House Remix,"Alice Ivy, Ecca Vandal, Northeast Party House",110
1,No Fun - RÜFÜS Remix,"The Presets, RÜFÜS DU SOL",109
2,Cranky Boy,Northeast Party House,108
3,Make Luv - Live,"Room 5, Oliver Cheatham",107
4,Smile Like You Mean It,The Killers,106
5,Drops of Jupiter (Tell Me),Train,105
6,Canned Heat,Jamiroquai,104
7,What's My Scene - 2005 Remaster,Hoodoo Gurus,103
8,The Boys Of Summer,Don Henley,102
9,Weather With You,Crowded House,101
10,Need You Tonight,INXS,90
11,Love Foolosophy - Radio Edit,Jamiroquai,89
12,Thunderstruck,AC/DC,88
13,Fader,The Temper Trap,87
14,No Secrets,The Angels,86
15,You Give Me Something,Jamiroquai,85
16,Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,84
17,Times Like These,Foo Fighters,83
18,Rain,Dragon,82
19,Elevator Up,Client Liaison,81
20,Magnify,Northeast Party House,80
21,Yellow Ledbetter,Pearl Jam,79
22,Talk Like That,The Presets,78
23,Am I Ever Gonna See Your Face Again,The Angels,77
24,Shine,Olly Alexander (Years & Years),76
25,Mustang Sally,"The Commitments, Andrew Strong",75
26,Back In The Dance,"Darius Syrossian, George Smeddles",74
27,Calypso Beach,Northeast Party House,73
28,Turn Around (Hey What's Wrong With You),Phats & Small,72
29,Amsterdam,Coldplay,71
30,Move,"Flight Facilities, DRAMA",70
31,Lucky Man,The Verve,69
32,Drown,The Smashing Pumpkins,68
33,You Get What You Give,New Radicals,67
34,When You're Gone,"Bryan Adams, Melanie C",66
35,Check Out,"J. Worra, Leo Stannard",65
36,Dominos,Northeast Party House,64
37,Suddenly,British India,63
38,Feel,Robbie Williams,62
39,Señorita,Justin Timberlake,61
40,Shoot to Thrill,AC/DC,60
41,From The Sea,Eskimo Joe,59
42,Zebra,John Butler Trio,58
43,Take A Long Line,The Angels,57
44,High Voltage,AC/DC,56
45,Faith - Remastered,George Michael,55
46,Murder On The Dancefloor,Sophie Ellis-Bextor,54
47,Take Tomorrow Faster,Northeast Party House,53
48,God Put a Smile upon Your Face,Coldplay,52
49,Yanada,The Preatures,51
50,Send Me on My Way,Rusted Root,50
51,Better Be Home Soon,Crowded House,49
52,It's My Life,No Doubt,48
53,Sinner,"LP Giobbi, Bklava",47
54,American Dream,"Jakatta, Dave Lee",46
55,Make You Happy,Josh Pyke,45
56,Sunny - Edit,"L'Tric, Chloe Wilson",44
57,Starlight - Radio Edit,"The Supermen Lovers, Mani Hoffman",43
58,Catch My Disease,Ben Lee,42
59,T.N.T.,AC/DC,41
60,The Desert,Northeast Party House,40
61,Go Your Own Way - 2004 Remaster,Fleetwood Mac,39
62,Happiness,Alexis Jordan,38
63,Remember (feat. The Presets),"Steve Angello, The Presets",37
64,Chains,Tina Arena,36
65,The Greatest View,Silverchair,35
66,Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse",34
67,Lucky - LO'99 Remix,"PNAU, Vlossom, LO'99",33
68,Place Your Hands,Reef,32
69,Sounds Of Then (This Is Australia),GANGgajang,31
70,Do You See What I See?,Hunters & Collectors,30
71,Dust Me Selecta,Gerling,29
72,Knockin' On Heaven's Door,Bob Dylan,28
73,The Door,Silverchair,27
74,Your Love (9PM),"ATB, Topic, A7S",26
75,I'm Not Over,Carolina Liar,25
76,All This Love,The Similou,24
77,Better Than,John Butler Trio,23
78,Last Nite,The Strokes,22
79,Diamond Dogs - 2016 Remaster,David Bowie,21
80,Oh No Not You Again - Remastered,Australian Crawl,20
81,Sunsets,Powderfinger,19
82,"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,18
83,Achilles Heel,Toploader,17
84,Death Defying - 2005 Remaster,Hoodoo Gurus,16
85,Lost And Running,Powderfinger,15
86,Big Yellow Taxi,"Counting Crows, Vanessa Carlton",14
87,Little L,Jamiroquai,13
88,I Want You Back - Remaster 2005,Hoodoo Gurus,12
89,Be with You,RÜFÜS DU SOL,11
90,Dice,"Finley Quaye, William Orbit",10
91,Shiver,Coldplay,9
92,Shimmer,Fuel,8
93,Sweet Disposition,The Temper Trap,7
94,Opportunity,Pete Murray,6
95,Come Anytime,Hoodoo Gurus,5
96,It’s Too Late,Evermore,4
97,Cry In Shame,Johnny Diesel & The Injectors,3
98,The Darkness That You Fear - The Blessed Madonna Remix,"The Chemical Brothers, The Blessed Madonna",2
