,track,artist,weight
0,Booster Seat,Spacey Jane,110
1,MAGIC,"Vince Staples, Mustard",109
2,Doses & Mimosas (Vintage Culture & Zerky Remix) - Radio Edit,"Vintage Culture, Zerky, Cherub",108
3,Apple,"Wongo, Jade Alice",107
4,Good for You,Spacey Jane,106
5,Scar,Missy Higgins,105
6,Gold Snafu,Sticky Fingers,104
7,Good Old Days (feat. Kesha),"Macklemore, Kesha",103
8,Feeding the Family,Spacey Jane,102
9,Cocoon,Catfish and the Bottlemen,101
10,Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse",90
11,Original Sin,Sofi Tukker,89
12,Lots of Nothing,Spacey Jane,88
13,Night Light,The Rions,87
14,The Festival Song,"PEZ, 360, Hailey Cramer",86
15,"Can You Hear Me? (ayayaya) (feat. Skepta, JME & Ms D)","Wiley, Jme, Dyo, Richard Cowie, Skepta",85
16,Sitting Up,Spacey Jane,84
17,Let's Dance to Joy Division,The Wombats,83
18,Charmander,Aminé,82
19,Sending Me Ur Loving,The Jungle Giants,81
20,It's Been a Long Day,Spacey Jane,80
21,Inappropriate Behaviour,Lime Cordiale,79
22,Electric Feel,MGMT,78
23,Roll Up Your Sleeves,Meg Mac,77
24,Act Yr Age,Bluejuice,76
25,Head Cold,Spacey Jane,75
26,LEMONADE,"Vince Staples, Ty Dolla $ign",74
27,Kathleen,Catfish and the Bottlemen,73
28,The Thrill,"Wiz Khalifa, Empire Of The Sun",72
29,Skin,Spacey Jane,71
30,Nail Tech,Jack Harlow,70
31,Clash (feat. Stormzy),"Dave, Stormzy",69
32,Undercover Martyn,Two Door Cinema Club,68
33,The Special Two,Missy Higgins,67
34,These Words,Natasha Bedingfield,66
35,I Won't Let You Go,James Morrison,65
36,Plans,Birds Of Tokyo,64
37,Man,Skepta,63
38,Spice Girl,Aminé,62
39,Money Talks (feat. Dave),"Fredo, Dave",61
40,Confidence,Ocean Alley,60
41,Longshot,Catfish and the Bottlemen,59
42,Truffle Butter,"Nicki Minaj, Drake, Lil Wayne",58
43,Location (feat. Burna Boy),"Dave, Burna Boy",57
44,Better Than This,"John Summit, Parachute Youth",56
45,Call from the Bank (feat. Mgmt),"Nipsey Hussle, MGMT",55
46,Blue World,Mac Miller,54
47,Poke It Out (feat. J. Cole),"Wale, J. Cole, Cool & Dre",53
48,Sunday Morning,Maroon 5,52
49,Brother - Triple J Like a Version,Thundamentals,51
50,Dog Days Are Over,Florence + The Machine,50
51,Lights Up,"Flight Facilities, Channel Tres",49
52,Wiley Flow,Stormzy,48
53,Sally,"Thundamentals, Mataya",47
54,YOU'RE THE ONE,"KAYTRANADA, Syd",46
55,On My Own,"Jaden, Kid Cudi",45
56,Pass Out,Tinie Tempah,44
57,C Carter,Cordae,43
58,Shutdown,Skepta,42
59,7,Catfish and the Bottlemen,41
60,Anxious,AJ Tracey,40
61,TEMPTATION,Joey Bada$$,39
62,Jackie Big Tits,The Kooks,38
63,Greaze Mode,"Skepta, Nafe Smallz",37
64,Sh!t2Luz,Aminé,36
65,Money Trees,"Kendrick Lamar, Jay Rock",35
66,Jail,Kanye West,34
67,Cyclone (The Village Sessions),Sticky Fingers,33
68,Brazil,Declan McKenna,32
69,Tape Deck Sick,DMA'S,31
70,Weightless,Spacey Jane,30
71,We'll Be Coming Back (feat. Example),"Calvin Harris, Example",29
72,Ladders,Mac Miller,28
73,Temper Temper,Lime Cordiale,27
74,Bound 2,Kanye West,26
75,Stranger Days,Skegss,25
76,Thrills,Spacey Jane,24
77,Rain,"Aitch, AJ Tracey, Tay Keith",23
78,Unwritten,Natasha Bedingfield,22
79,You Make It Real,James Morrison,21
80,Better Together,Jack Johnson,20
81,"Someday, Someday - Single Version",Thirsty Merc,19
82,Say Yes to Life,Gang of Youths,18
83,Steer,Missy Higgins,17
84,Honey,"070 Shake, Ralphy River, Hack & Tree",16
85,2all,Catfish and the Bottlemen,15
86,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",14
87,Foreign Language (feat. Jess),"Flight Facilities, Jess",13
88,Sawteeth,Spacey Jane,12
89,Sticks 'N' Stones,Jamie T,11
90,Seoul,AJ Tracey,10
91,First Class,Jack Harlow,9
92,Between The Lines,Aminé,8
93,Energy,"Avelino, Stormzy, Skepta",7
94,Thiago Silva,"Dave, AJ Tracey",6
95,SUNDOWN TOWN,Vince Staples,5
96,NEO,Aminé,4
97,Robbery,Lime Cordiale,3
98,Solid Gold,"PNAU, Kira Divine, Marques Toliver",2
99,What Do You Mean?,"Skepta, J Hus",1
