,track,artist,weight
0,Classic,"F-POS, Gold Fang, Moody Beach",110
1,Porcelain,Moby,109
2,Texas Sun,"Khruangbin, Leon Bridges",108
3,Brian's Movie,Peach Pit,107
4,If I Can Dream - Live from the '68 Comeback Special,Elvis Presley,106
5,Save Your Tears,The Weeknd,105
6,This Is the Sea - 2004 Remaster,The Waterboys,104
7,Peach Pit,Peach Pit,103
8,Fire Water Burn,Bloodhound Gang,102
9,Blinding Lights,The Weeknd,101
10,Who Said,Planet Funk,90
11,Start/Stop/Rewind,COMA,89
12,Extreme Ways (Bourne's Legacy),Moby,88
13,Symphonies (feat. Kid Cudi),"Dan Black, Kid Cudi",87
14,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",86
15,Landslide,Fleetwood Mac,85
16,Running Up That Hill (A Deal With God),Kate Bush,84
17,Heat Waves,Glass Animals,83
18,Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",82
19,Chase the Sun,Planet Funk,81
20,Unfinished Sympathy - 2012 Mix/Master,Massive Attack,80
21,Goodbye Horses,Q Lazzarus,79
22,Pink Houses,John Mellencamp,78
23,Just Call,John Butler Trio,77
24,Burning Love,Elvis Presley,76
25,Let Me Down Easy,Gang of Youths,75
26,Hold You Tight,Diplo,74
27,Waste A Day,The Rubens,73
28,Good Riddance (Time of Your Life),Green Day,72
29,Showdown,Electric Light Orchestra,71
30,Time - feat. Jules Buckley,"Tale Of Us, Pete Tong, Jules Buckley",70
31,Open Your Eyes,Snow Patrol,69
32,That's Life - 2008 Remastered,Frank Sinatra,68
33,Ocean,John Butler,67
34,Circles,Post Malone,66
35,Chasing Cars,Snow Patrol,65
36,One More Hour,Tame Impala,64
37,Little Lion Man,Mumford & Sons,63
38,Standing In The Middle Of The Field,Cut Copy,62
39,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",61
40,Meet Me Halfway,Black Eyed Peas,60
41,Disturbia,Rihanna,59
42,Sunchyme,Dario G,58
43,Have You Ever Seen The Rain,Creedence Clearwater Revival,57
44,Yellow Ledbetter,Pearl Jam,56
45,Express Yourself - Remix,N.W.A.,55
46,Umbrella,"Rihanna, JAY-Z",54
47,Into The Groove (You Can Dance Remix Edit) - 2022 Remaster,Madonna,53
48,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",52
49,the angel of 8th ave.,Gang of Youths,51
50,Unchained Melody,The Righteous Brothers,50
51,Stubborn Love,The Lumineers,49
52,A Real Hero,"College, Electric Youth",48
53,Teardrop,"Massive Attack, Elizabeth Fraser",47
54,Amazing,"Kanye West, Jeezy",46
55,The Cave,Mumford & Sons,45
56,Riptide,Vance Joy,44
57,When Doves Cry,Prince,43
58,Just To Be Kind,Boy & Bear,42
59,Gold Snafu,Sticky Fingers,41
60,Georgia,Vance Joy,40
61,You'll Never See Me Cry (Ambassadeurs Remix),"Ephemerals, Ambassadeurs",39
62,Arsonist's Lullabye,Hozier,38
63,Miss Your Love,John Butler Trio,37
64,"Hold On, We're Going Home","Drake, Majid Jordan",36
65,Beautiful Girls,Sean Kingston,35
66,Roadhouse Blues,The Doors,34
67,Scotty Doesn't Know,Lustra,33
68,Over,Drake,32
69,Magnolia,Gang of Youths,31
70,Believe (triple j Like A Version) - Cover Version,DMA'S,30
71,My Humps,Black Eyed Peas,29
72,Halo,Beyoncé,28
73,Disco Inferno - Edit,The Trammps,27
74,The Spins,Mac Miller,26
75,Slow Hands,Niall Horan,25
76,Clubbed To Death,"Pete Tong, The Heritage Orchestra, Jules Buckley",24
77,Purple Rain,Prince,23
78,"Shook Ones, Pt. II",Mobb Deep,22
79,My Sacrifice,Creed,21
80,Wheels,Foo Fighters,20
81,Another Love,Tom Odell,19
82,Suspicious Minds,Elvis Presley,18
83,Everything I Am,"Kanye West, DJ Premier",17
84,No Rain,Blind Melon,16
85,Tusk,Fleetwood Mac,15
86,Delete,DMA'S,14
87,All My Heroes - Radio Edit,"Naeleck, Sarah Rebecca",13
88,Day In The Life,Sophisticated Dingo,12
89,Southern Sun,Boy & Bear,11
90,Booster Seat,Spacey Jane,10
91,Raspberry Beret,Prince,9
92,Там ревели горы,Miyagi & Andy Panda,8
93,Metal Guru,T. Rex,7
94,Hayling,"FC Kahuna, Hafdis Huld",6
95,Sway,Bic Runga,5
96,Wavin' Flag,K'NAAN,4
97,Robbers,The 1975,3
98,Spirit In The Sky - Deluxe Edition,Norman Greenbaum,2
99,How Far We've Come,Matchbox Twenty,1
