,track,artist,weight
0,My Happiness,Powderfinger,110
1,Don't Stop 'Til You Get Enough,Michael Jackson,109
2,I Know What You Want (feat. Flipmode Squad),"Busta Rhymes, Mariah Carey, Flipmode Squad",108
3,Hustler's Ambition,50 Cent,107
4,Believe,Okay Kaya,106
5,Her Diamonds,Rob Thomas,105
6,Automation,Toto Chiavetta,104
7,Summer Love,Justin Timberlake,103
8,Lille Vals,Storken,102
9,Lonely No More,Rob Thomas,101
10,Open Your Eyes,Snow Patrol,90
11,Ayla - DJ Taucher Radio Edit,"Ayla, Taucher",89
12,Innerbloom,RÜFÜS DU SOL,88
13,This Is How a Heart Breaks,Rob Thomas,87
14,Cavalier,James Vincent McMorrow,86
15,Let's Get Down (Radio Edit),Supafly,85
16,Clocks,Coldplay,84
17,Ehi Ena Feggari Apopse,Pashalis Terzis,83
18,Beat It,Michael Jackson,82
19,Karma,HOSH,81
20,Don't Hurt Me Baby,Airwolf Paradise,80
21,Unwell,Matchbox Twenty,79
22,Erase Me,Ben Hemsley,78
23,Truly Madly Deeply,Savage Garden,77
24,Iris,The Goo Goo Dolls,76
25,Kiss Me,Sixpence None The Richer,75
26,Amazing,Alex Lloyd,74
27,Inglorious Express,"Biesmans, Vandesande",73
28,Love Your Way,Powderfinger,72
29,Sleepless - Extended Mix,D.O.D,71
30,Billie Jean,Michael Jackson,70
31,Yellow,Coldplay,69
32,Music Sounds Better with You,NEIL FRANCES,68
33,It’s Too Late,Evermore,67
34,I'm Not Alone - 2019 Edit,Calvin Harris,66
35,Hide U - Tinlicker Remix,"Sian Evans, Tinlicker",65
36,Shivers,Ed Sheeran,64
37,Malfunction,Deeparture,63
38,Discopolis 2.0 - Eelke Kleijn Remix,"Lifelike, Kris Menace, Eelke Kleijn",62
39,Need You (Higher),CHANEY,61
40,Shooting Stars,Bag Raiders,60
41,9 PM (Till I Come) [Radio Mix UK],ATB,59
42,Do you Feel Like I do?,"Another Chemical Love Story, Elliot Adamson",58
43,Cold Summer,Paride Saraceni,57
44,Money Trees,"Kendrick Lamar, Jay Rock",56
45,A Wave,Kings of Leon,55
46,Straight Lines,Silverchair,54
47,(Baby I've Got You) On My Mind,Powderfinger,53
48,Hell To The Liars - Kölsch Remix,"London Grammar, Kölsch",52
49,Birthday Card,"Marcus Marr, Chet Faker",51
50,Insane,"Flume, Moon Holiday",50
51,The Bandit,Kings of Leon,49
52,Can't Stop,Red Hot Chili Peppers,48
53,Don't You Want Me - Purple Disco Machine Remix,"The Human League, Purple Disco Machine",47
54,On Top,"Flume, T-Shirt",46
55,The Kill [Bury Me] - Edit,Thirty Seconds To Mars,45
56,9 PM (Till I Come) - Radio Edit,ATB,44
57,The Scientist,Coldplay,43
58,Glue,BICEP,42
59,Hotel California - 2013 Remaster,Eagles,41
60,Sun Phase,Pretty Girl,40
61,Spherical Aberration - Jiggler Remix,"Benno Blome, Jiggler",39
62,Golden Restless Age,Kings of Leon,38
63,Whatever U Like,Kolombo,37
64,Sweet Disposition,The Temper Trap,36
65,Mockingbird,Eminem,35
66,Burn Your Name,Powderfinger,34
67,Stuck In The Middle With You,Stealers Wheel,33
68,Something Just Like This,"The Chainsmokers, Coldplay",32
69,Tired Of Being Alone,Al Green,31
70,Sweet Disposition - Camille Luciani Mix,"The Temper Trap, Camille Luciani",30
71,Sundream - Claptone Remix,"RÜFÜS DU SOL, Claptone",29
72,Tiny Dancer - Deadmau5 Extended Remix,"deadmau5, Marco Demark, Casey Barnes",28
73,Bitter Sweet Symphony - Remastered 2016,The Verve,27
74,Stan,"Eminem, Dido",26
75,I Want to Know What Love Is - 1999 Remaster,Foreigner,25
76,Apopse Thelo Na Pio,Haris Alexiou,24
77,Midnight City,M83,23
78,Over My Head (Cable Car),The Fray,22
79,This Boys In Love,The Presets,21
80,A Thousand Miles,Vanessa Carlton,20
81,Lafayette,Cassian,19
82,Julia,Jungle,18
83,OMG (feat. will.i.am),"USHER, will.i.am",17
84,Stormy Weather,Kings of Leon,16
85,Impact,Jiggler,15
86,Busy Earnin',Jungle,14
87,DO 4 LOVE,Snoh Aalegra,13
88,Hypnotize - 2007 Remaster,The Notorious B.I.G.,12
89,In Da Club,50 Cent,11
90,"So Fresh, So Clean",Outkast,10
91,Dreams,The Cranberries,9
92,California Dreamin' - Vintage Culture Remix,"Chris Lorenzo, Vintage Culture, High Jinx",8
93,Use Somebody,Kings of Leon,7
94,I'm Into You,Chet Faker,6
95,Speed of Sound,Coldplay,5
96,For the First Time,The Script,4
