,track,artist,weight
0,BREAK MY SOUL,Beyoncé,110
1,I Wanna Be Where You Are - Underboss Remix,"Michael Jackson, Lord Finesse",109
2,COZY,Beyoncé,108
3,Capillary,Human Bloom,107
4,I'M THAT GIRL,Beyoncé,106
5,Pretty Lady,Tash Sultana,105
6,Long Way Up,"Courage, Bellah, kadiata",104
7,Green & Gold,Lianne La Havas,103
8,PLASTIC OFF THE SOFA,Beyoncé,102
9,Two Nights,Joy Crookes,101
10,Be Honest (feat. Burna Boy),"Jorja Smith, Burna Boy",90
11,Ex-Factor,Ms. Lauryn Hill,89
12,CUFF IT,Beyoncé,88
13,Lose My Cool,Amber Mark,87
14,Hey Raoul,Bamily,86
15,positions,Ariana Grande,85
16,ALIEN SUPERSTAR,Beyoncé,84
17,River,Leon Bridges,83
18,Casio,Jungle,82
19,Mixer,Amber Mark,81
20,ENERGY (feat. Beam),"Beyoncé, BEAM",80
21,What You Need (feat. Charlotte Day Wilson),"KAYTRANADA, Charlotte Day Wilson",79
22,Too Good - The Wild Honey Pie Buzzsession,Ayoni,78
23,What Do You Say (Move It Baby),"Common, PJ",77
24,MOVE (feat. Grace Jones & Tems),"Beyoncé, Grace Jones, Tems",76
25,Dangerous Woman,Ariana Grande,75
26,I Want You Back,The Jackson 5,74
27,Beyond the Sea,Bobby Darin,73
28,CHURCH GIRL,Beyoncé,72
29,Rigamortus,Kendrick Lamar,71
30,Your Light,Total Giovanni,70
31,Drew Barrymore,SZA,69
32,VIRGO'S GROOVE,Beyoncé,68
33,Feet Don't Fail Me Now,Joy Crookes,67
34,3 Nights,Dominic Fike,66
35,No Ordinary Life,Matt Corby,65
36,Summertime (feat. P. Diddy),"Beyoncé, Diddy",64
37,Roll Up Your Sleeves,Meg Mac,63
38,Love Me Right,Gretta Ray,62
39,N Side,Steve Lacy,61
40,PURE/HONEY,Beyoncé,60
41,Final Form,Sampa the Great,59
42,You & I,"Dabeull, HolyBrune",58
43,Can’t Help Myself,Kita Alexander,57
44,HEATED,Beyoncé,56
45,These Girls,Sticky Fingers,55
46,Voodoo,"Shay Lia, Buddy",54
47,Rainbow Valley,Matt Corby,53
48,THIQUE,Beyoncé,52
49,Don't You Worry,Electric Fields,51
50,Blessings,Angel,50
51,Miracle Love,Matt Corby,49
52,SUMMER RENAISSANCE,Beyoncé,48
53,Heir To The Sugar Honey Queen,Ehiorobo,47
54,P.Y.T. (Pretty Young Thing),Michael Jackson,46
55,Keep On,Kehlani,45
56,AMERICA HAS A PROBLEM,Beyoncé,44
57,"U Say (feat. Tyler, The Creator & Jay Prince)","GoldLink, Tyler, The Creator, Jay Prince",43
58,Work - Freemasons Radio Edit,Kelly Rowland,42
59,Heavy - Edit,"Flight Facilities, Your Smith",41
60,ALL UP IN YOUR MIND,Beyoncé,40
61,King James,Anderson .Paak,39
62,SUMMER,The Carters,38
63,Windows,Nico Segal,37
64,BREAK MY SOUL - ACAPELLA VERSION,Beyoncé,36
65,Girlfriend,Kitty,35
66,Somebody Else,The 1975,34
67,Lay All Your Love On Me,ABBA,33
68,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",32
69,still feel.,half•alive,31
70,Cleopatra,Mel Blue,30
71,I AM WOMAN,Emmy Meli,29
72,NILE,"Beyoncé, Kendrick Lamar",28
73,Girl,Destiny's Child,27
74,Sober - Jarreau Vandal Remix,Mahalia,26
75,What I Want,"Flight Facilities, BROODS",25
76,Formation,Beyoncé,24
77,Levitating,Dua Lipa,23
78,Something About You (with Rudimental),"Elderbrook, Rudimental",22
79,Boys,Charli xcx,21
80,Knife Edge,Matt Corby,20
81,Life Goes On,E^ST,19
82,Give A Little,Maggie Rogers,18
83,JA ARA E,Burna Boy,17
84,SCAR,"070 Shake, Jessie Reyez",16
85,Juke Jam (feat. Justin Bieber & Towkio),"Chance the Rapper, Justin Bieber, Towkio",15
86,Settle,Vera Blue,14
87,you in everything,Gang of Youths,13
88,Spectrum,Florence + The Machine,12
89,Work It,Missy Elliott,11
90,Swim Good,Frank Ocean,10
91,Grandma's Hands,Meg Mac,9
92,Heavy,Orla Gartland,8
93,in the wake of your leave,Gang of Youths,7
94,Softly,Clairo,6
95,One Last Time,Ariana Grande,5
96,This Old Love,Lior,4
97,Caress Your Soul,Sticky Fingers,3
98,Bridge Burn,Little Comets,2
99,10 d E A T h b R E a s T ⚄ ⚄,Bon Iver,1
