,track,artist,weight
0,Music For a Sushi Restaurant,Harry Styles,110
1,Lover,Taylor Swift,109
2,Just The Way You Are,Milky,108
3,As It Was,Harry Styles,107
4,All Right Now,Free,106
5,Loving Is Easy,"Rex Orange County, Benny Sings",105
6,These Words,Natasha Bedingfield,104
7,Lots of Nothing,Spacey Jane,103
8,OMG (feat. will.i.am),"USHER, will.i.am",102
9,Temper Temper,Lime Cordiale,101
10,Love Lost,"Mac Miller, The Temper Trap",90
11,Little Red Corvette - Single Version,Prince,89
12,Drops of Jupiter (Tell Me),Train,88
13,Brass in Pocket - 2006 Remaster,Pretenders,87
14,Heaven (Must Be There) - 2007 Remastered,Eurogliders,86
15,Love Foolosophy - Radio Edit,Jamiroquai,85
16,She Has to Be Loved,Jenny Morris,84
17,Rock DJ,Robbie Williams,83
18,Murder On The Dancefloor,Sophie Ellis-Bextor,82
19,Late Night Talking,Harry Styles,81
20,Sweetest Thing,U2,80
21,S Club Party,S Club,79
22,I Can Dream About You,Dan Hartman,78
23,I Got You,Split Enz,77
24,Waiting On the World to Change,John Mayer,76
25,Lightning Crashes,Live,75
26,Everybody Wants To Rule The World,Tears For Fears,74
27,Give A Little Bit,Supertramp,73
28,I'm Like A Bird,Nelly Furtado,72
29,Love at First Sight,Kylie Minogue,71
30,Hurts So Good,John Mellencamp,70
31,Nothing Compares 2 U,Sinéad O'Connor,69
32,Start Me Up - Remastered 2009,The Rolling Stones,68
33,Sunshine on a Rainy Day,Christine Anu,67
34,Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,66
35,Raspberry Beret,Prince,65
36,Running on Empty,Jackson Browne,64
37,Little L,Jamiroquai,63
38,April Sun in Cuba,Dragon,62
39,Run to Paradise,Choirboys,61
40,Snow (Hey Oh),Red Hot Chili Peppers,60
41,Don't Stop Movin',S Club,59
42,Songbird,Bernard Fanning,58
43,The Joker,Steve Miller Band,57
44,Under the Bridge,Red Hot Chili Peppers,56
45,Spinning Around,Kylie Minogue,55
46,Sunsets,Powderfinger,54
47,Tomorrow,Silverchair,53
48,Music Sounds Better with You,NEIL FRANCES,52
49,Running,Evermore,51
50,Life Is A Rollercoaster,Ronan Keating,50
51,Breathless,The Corrs,49
52,Music Sounds Better With You - Radio Edit,"Stardust, Benjamin Diamond, Alan Braxe, Thomas Bangalter",48
53,I'm Coming Out,Diana Ross,47
54,Soul to Squeeze,Red Hot Chili Peppers,46
55,Rain,Dragon,45
56,Izzo (H.O.V.A.),JAY-Z,44
57,Photo ID (with Dominic Fike),"Remi Wolf, Dominic Fike",43
58,Dancing in the Moonlight,Toploader,42
59,Pure Shores,All Saints,41
60,You Shook Me All Night Long,AC/DC,40
61,Follow Me,Uncle Kracker,39
62,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,38
63,Wish You Well,Bernard Fanning,37
64,My Happiness,Powderfinger,36
65,99 Problems,JAY-Z,35
66,Feel the Love (feat. John Newman),"Rudimental, John Newman",34
67,Rhythm of My Heart,Rod Stewart,33
68,Hypnotize - 2014 Remaster,The Notorious B.I.G.,32
69,Rum Rage,Sticky Fingers,31
70,The Joker,Steve Miller Band,30
71,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,29
72,One Time,Justin Bieber,28
73,The Tide Is High - Radio Mix,Atomic Kitten,27
74,My My My,Armand Van Helden,26
75,Highway to Hell,AC/DC,25
76,Should I Stay or Should I Go - Remastered,The Clash,24
77,I Try,Macy Gray,23
78,Better Days,Pete Murray,22
79,Catch My Disease,Ben Lee,21
80,Lost And Running,Powderfinger,20
81,Don't Leave Me This Way (with Sarah Jane Morris),"The Communards, Sarah Jane Morris",19
82,Turn Around (Hey What's Wrong With You),Phats & Small,18
83,Praise You - Radio Edit,Fatboy Slim,17
84,The Special Two,Missy Higgins,16
85,Put Your Records On,Corinne Bailey Rae,15
86,Good Vibrations,"Marky Mark And The Funky Bunch, Loleatta Holloway",14
87,Not Afraid,Eminem,13
88,Holiday,Confidence Man,12
89,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",11
90,You Give Me Something,Jamiroquai,10
91,Get Set,Taxiride,9
92,Lovesong,Amiel,8
93,Magnify,Northeast Party House,7
94,Dream Catch Me,Newton Faulkner,6
95,Eagle Rock,Daddy Cool,5
96,Booster Seat,Spacey Jane,4
97,One Crowded Hour,Augie March,3
98,Pictures,Sneaky Sound System,2
99,Rock It,Little Red,1
