,track,artist,weight
0,Intimidated (feat. H.E.R.),"KAYTRANADA, H.E.R.",110
1,Rich Spirit,Kendrick Lamar,109
2,You & I,"Dabeull, HolyBrune",108
3,Come My Way (feat. Krayzie Bone),"Saba, Krayzie Bone",107
4,Eternal Light,"Free Nationals, Chronixx",106
5,10% (feat. Kali Uchis),"KAYTRANADA, Kali Uchis",105
6,Move Like This,"Ric Wilson, Terrace Martin",104
7,B-Side,"Khruangbin, Leon Bridges",103
8,Le Ghetto,Ks French,102
9,Out of Time - KAYTRANADA Remix,"The Weeknd, KAYTRANADA",101
10,It Runs Through Me (feat. De La Soul),"Tom Misch, De La Soul",90
11,Beige,"Terrace Martin, Arin Ray, Elena Pinderhughes",89
12,Father Time (feat. Sampha),"Kendrick Lamar, Sampha",88
13,Make Me Feel,Joey Bada$$,87
14,What You Need (feat. Charlotte Day Wilson),"KAYTRANADA, Charlotte Day Wilson",86
15,Chronicles (feat. H.E.R. & Lil Durk),"Cordae, H.E.R., Lil Durk",85
16,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",84
17,Where I Belong,Joey Bada$$,83
18,Iced Tea,"Joyce Wrice, KAYTRANADA",82
19,Lose My Cool - Franc Moody Remix,"Amber Mark, Franc Moody",81
20,N95,Kendrick Lamar,80
21,Trouble On Central,Buddy,79
22,Gypsy Woman - Quarantine Sessions,Tom Misch,78
23,The Sweetest Meditation,"Lord Echo, Mara TK",77
24,Count Me Out,Kendrick Lamar,76
25,EQUILIBRIUM,"Darius, WAYNE SNOW",75
26,Sun Moon,"Cabu, Young Franco, Noé",74
27,Zipcodes,Joey Bada$$,73
28,Purple Hearts,"Kendrick Lamar, Summer Walker, Ghostface Killah",72
29,Focus - SE Edit,Dan Kye,71
30,Freeze Tag (feat. Phoelix),"Terrace Martin, Robert Glasper, 9th Wonder, Kamasi Washington, Dinner Party, Phoelix",70
31,PURPLE TUESDAY (feat. Joey Bada$$ & Jesse Boykins III),"Rejjie Snow, Jesse Boykins III, Joey Bada$$",69
32,United In Grief,Kendrick Lamar,68
33,the angel of 8th ave.,Gang of Youths,67
34,Lights Up - Edit,"Flight Facilities, Channel Tres",66
35,Ice Water,Loyle Carner,65
36,A Thousand Kisses,Dr Packer,64
37,tend the garden,Gang of Youths,63
38,What I Want,"Flight Facilities, BROODS",62
39,Ottolenghi,"Loyle Carner, Jordan Rakei",61
40,Ya Just Need 2 Believe in Yaself,Folamour,60
41,in the wake of your leave,Gang of Youths,59
42,The Baddest,"Joey Bada$$, Diddy",58
43,All Of The Time,Jungle,57
44,DX7 - Indastudio 10,"Dabeull, HolyBrune",56
45,Rich - Interlude,Kendrick Lamar,55
46,The Highs & The Lows,"Chance the Rapper, Joey Bada$$",54
47,Romeo,"Jungle, Bas",53
48,you in everything,Gang of Youths,52
49,At All,KAYTRANADA,51
50,Cruise Control,Joey Bada$$,50
51,Mariella,"Khruangbin, Leon Bridges",49
52,Casio,Jungle,48
53,Feet Don't Fail Me Now,Joy Crookes,47
54,Dance Now (feat. Kenny Mason),"JID, Kenny Mason",46
55,Find a Way,A Tribe Called Quest,45
56,Keep Moving,Jungle,44
57,Day & Night,"Dabeull, HolyBrune",43
58,Worldwide Steppers,Kendrick Lamar,42
59,unison,Gang of Youths,41
60,Eulogy,Joey Bada$$,40
61,Intro - Life,"Miguel Migs, Half Pint",39
62,Silent Hill,"Kendrick Lamar, Kodak Black",38
63,Amphetamines,"Topaz Jones, anaiis",37
64,Like A Fool,Crazy P,36
65,Heavy - Edit,"Flight Facilities, Your Smith",35
66,Corsica '80,Kraak & Smaak,34
67,Relax,"Rejjie Snow, grouptherapy., Cam O'bi",33
68,TEMPTATION,Joey Bada$$,32
69,Dog Food (feat. Denzel Curry),"IDK, Denzel Curry",31
70,Can I Call You Rose?,Thee Sacred Souls,30
71,Nightrider,"Tom Misch, Yussef Dayes, Freddie Gibbs",29
72,Diet Coke,Pusha T,28
73,We Cry Together,"Kendrick Lamar, Taylour Paige",27
74,VIVID DREAMS,"KAYTRANADA, River Tiber",26
75,spirit boy,Gang of Youths,25
76,Dear Jean,Loyle Carner,24
77,Crown,Kendrick Lamar,23
78,In The Morning,Jay Prince,22
79,returner,Gang of Youths,21
80,Vex Oh feat. GoldLink & Ari PenSmith,"KAYTRANADA, Eight9FLY, Ari PenSmith, GoldLink",20
81,Black Tame,Topaz Jones,19
82,Gidget (feat. Anderson .Paak & T.Nava),"Free Nationals, Anderson .Paak, T.Nava",18
83,the man himself,Gang of Youths,17
84,Everybody Loves The Sunshine,Roy Ayers Ubiquity,16
85,Wow Freestyle (feat. Kendrick Lamar),"Jay Rock, Kendrick Lamar",15
86,Texas Sun,"Khruangbin, Leon Bridges",14
87,"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,13
88,Damselfly,"Loyle Carner, Tom Misch",12
89,Santa Catarina,Lazywax,11
90,Disco Pantz,"Rejjie Snow, Tinashe, grouptherapy.",10
91,Chocolate Hills,"Khruangbin, Leon Bridges",9
92,Movie,Tom Misch,8
93,Who?,"Topaz Jones, Maxo, Phonte",7
94,Lose My Cool,Amber Mark,6
95,Hold It,Flamingo Pier,5
96,Inside Your Love (2 People),"Disco Dandies, Leon Ware",4
97,Doris,"Khruangbin, Leon Bridges",3
98,Way Out,FKJ,2
99,If You Know What I Mean,Horrorshow,1
