,track,artist,weight
0,Way Out (feat. Big Sean),"Jack Harlow, Big Sean",110
1,First Class,Jack Harlow,109
2,5% TINT,Travis Scott,108
3,Give It To Me - Full Vocal Mix,Matt Sassari,107
4,Under The Influence,Chris Brown,106
5,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",105
6,Love Lost,"Mac Miller, The Temper Trap",104
7,Milkshake,BBY KODIE,103
8,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",102
9,after dark x sweater weather,"daddy's girl, creamy, 11:11 Music Group",101
10,Whatever You Like,T.I.,90
11,Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",89
12,Stunnin' (feat. Harm Franklin),"Curtis Waters, Harm Franklin",88
13,I WANNA SEE SOME ASS (feat. jetsonmade),"Jack Harlow, jetsonmade",87
14,Amor,San Pacho,86
15,Goosebumps - Remix,"Travis Scott, HVME",85
16,Nice For What,Drake,84
17,Stick-Up,Pimp Chic!,83
18,Give It To Me,"Timbaland, Justin Timberlake, Nelly Furtado",82
19,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,81
20,Do Not Disturb,Drake,80
21,Bestie,"DaBaby, YoungBoy Never Broke Again",79
22,Hungry Hippo,Tierra Whack,78
23,My Humps,"Joshwa, Lee Foss",77
24,Sticky,Drake,76
25,Sweater Weather,"Gaullin, Julian Perretta",75
26,HIT EM WHERE IT HURTS,PawPaw Rod,74
27,Flex,Piff Marti,73
28,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",72
29,Casanova,CRSB,71
30,Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",70
31,Father Stretch My Hands Pt. 1,Kanye West,69
32,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale",68
33,Confident,"Justin Bieber, Chance the Rapper",67
34,Weekend (feat. Miguel),"Mac Miller, Miguel",66
35,DOOM,Calivania,65
36,Lost,Frank Ocean,64
37,Heartbroken 2022,"T2, ARPA",63
38,LET IT GO (feat. Justin Bieber & 21 Savage),"DJ Khaled, 21 Savage, Justin Bieber",62
39,Chill Like That,"Sunday Scaries, PiCKUPLiNES",61
40,Thinkin Bout You,Frank Ocean,60
41,The Spins,Mac Miller,59
42,Memories,"Eden Prince, Nonô",58
43,Like Whoa,Black V Neck,57
44,HYPNOSIS,"AYYBO, ero808",56
45,Pluck F*ck,"Victor Lou, Visage Music",55
46,Vibe (If I Back It Up),Cookiee Kawaii,54
47,Super Freaky Girl,Nicki Minaj,53
48,Nail Tech,Jack Harlow,52
49,I Got Summer On My Mind,Jay Dunham,51
50,TO THE MOON,"JNR CHOI, Sam Tompkins",50
51,New Crib.,Piff Marti,49
52,Massive,Drake,48
53,Long Beach,"Kota the Friend, Hello O'shay, Alex Banin",47
54,Satisfaction,"David Guetta, Benny Benassi",46
55,Fair Trade (with Travis Scott),"Drake, Travis Scott",45
56,Break from Toronto,PARTYNEXTDOOR,44
57,Day 'N' Nite - Crookers Remix,"Kid Cudi, Crookers",43
58,Heads Will Roll - A-Trak Remix Radio Edit,"Yeah Yeah Yeahs, A-Trak",42
59,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",41
60,Do It To It,"ACRAZE, Cherish",40
61,pogo,"bbno$, Diplo",39
62,pushin P (feat. Young Thug),"Gunna, Future, Young Thug",38
63,No Guidance (feat. Drake),"Chris Brown, Drake",37
64,The Motto,"Tiësto, Ava Max",36
65,Afraid To Feel,LF SYSTEM,35
66,Loving,Surfaces,34
67,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",33
68,Intoxicated (Radio Edit),"Martin Solveig, GTA",32
69,San Frandisco,Dom Dolla,31
70,IN THE CLUB,Mishashi Sensei,30
71,POPSTAR (feat. Drake),"DJ Khaled, Drake",29
72,Like A G6,"Far East Movement, The Cataracs, DEV",28
73,Doja,Central Cee,27
74,Why You Wanna,T.I.,26
75,The Parade,"Joel Corry, Da Hool",25
76,oui,Jeremih,24
77,Hot Shit (feat. Ye & Lil Durk),"Cardi B, Kanye West, Lil Durk",23
78,Get Together (with Duckwrth),"Louis The Child, Duckwrth",22
79,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott, Young Thug",21
80,Joker,Likkle Jordee,20
81,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",19
82,Do It Right,"Martin Solveig, Tkay Maidza",18
83,Can't Tell Me Nothing,Kanye West,17
84,Where I Want 2 B,CID,16
85,Say It Right - Sped Up Remix,"Nelly Furtado, Speed Radio",15
86,Belly Dancer,"Imanbek, BYOR",14
87,If You Had My Love (Kav Verhouzer Remix),"TWOPILOTS, De Hofnar, Kav Verhouzer",13
88,Deep End,Kyllow,12
89,Romeo,Corrupt (UK),11
90,I Hate U,SZA,10
91,Lets Link,WhoHeem,9
92,Element,Pop Smoke,8
93,They Call Me Tiago (Her Name Is Margo),Tiagz,7
94,Good Life,"Kanye West, T-Pain",6
95,Ms. Jackson,Outkast,5
96,Bananza (Belly Dancer),Akon,4
97,Be Someone (feat. Ray X Ben),"KVSH, Schillist, Benny Morrell",3
98,Passion,"RAC, Louis The Child",2
99,Party Girls,Tayo Ricci,1
